sector,price,bedRoom,bathroom,balcony,floorNum,built_up_area,study room,servant room,pooja room,store room,others,furnishing_type,property_type_house,agePossession_New Property,agePossession_Old Property,agePossession_Relatively New,agePossession_Under Construction,luxury_score_Low,luxury_score_Medium
85.0,1.8,3,3,3,30.0,150.82938388625593,0,0,0,0,0,0,False,False,False,False,True,True,False
61.0,1.45,3,3,3,4.0,1430.0,0,0,0,0,0,0,False,False,False,False,True,True,False
21.0,0.22,1,1,1,2.0,1.9790441176470588,0,0,0,0,0,0,False,False,False,True,False,True,False
7.0,0.36,2,2,1,0.0,700.0,0,0,0,0,0,0,False,False,False,True,False,True,False
48.0,0.25,2,2,1,0.0,587.0,0,0,0,0,0,0,False,False,False,True,False,True,False
79.0,1.15,3,3,3,1.0,1200.0,1,0,0,0,0,0,False,False,False,False,True,True,False
48.0,1.65,3,3,0,1.0,1120.8530805687203,0,0,0,0,0,0,False,False,False,True,False,True,False
113.0,2.9,4,4,3,11.0,2722.7488151658767,1,1,0,0,0,0,False,False,False,False,True,True,False
92.0,0.6,2,2,3,11.0,1162.9955947136564,0,0,0,0,1,0,False,False,False,False,True,True,False
47.0,2.4,3,3,0,0.0,2843.6018957345973,0,0,0,0,0,1,False,False,False,False,False,True,False
70.0,1.25,2,2,3,19.0,1495.260663507109,0,0,0,0,0,0,False,False,False,True,False,True,False
65.0,2.15,2,2,3,28.0,1433.0,0,0,0,0,0,0,False,False,False,True,False,True,False
48.0,0.29,2,2,1,4.0,743.0,0,0,0,0,0,0,False,False,False,True,False,True,False
48.0,0.38,2,2,2,9.0,750.0,0,0,0,0,0,0,False,False,False,True,False,True,False
53.0,1.5,2,2,3,7.0,1200.0,0,0,0,0,0,0,False,False,False,False,True,True,False
4.0,0.39,2,2,1,1.0,950.0,0,0,0,0,0,0,False,True,False,False,False,True,False
99.0,1.6,3,4,0,15.0,2400.0,0,0,0,0,0,0,False,True,False,False,False,True,False
68.0,1.7,4,4,3,2.0,1761.2334801762115,0,0,0,0,0,0,False,True,False,False,False,True,False
