property_type,sector,price,area,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,pooja room,store room,others,furnishing_type,luxury_score
flat,79.0,1.45,1945.0,3,3,3,3.0,Relatively New,2304.5023696682465,0,0,0,0,0,2,0
flat,61.0,2.2,1630.0,3,3,2,1.0,Under Construction,1895.7345971563984,0,0,0,0,0,2,49
flat,33.0,1.1,1110.0,2,2,3,9.0,Moderately Old,1100.0,0,0,0,0,0,0,44
flat,102.0,2.05,2076.0,3,4,3,14.0,Relatively New,2399.2890995260664,0,1,0,0,0,2,116
flat,92.0,0.6,1200.0,3,2,3,4.0,Moderately Old,1421.8009478672986,0,0,0,0,0,0,49
flat,89.0,0.8,1660.0,2,3,3,8.0,Under Construction,1462.555066079295,1,0,0,0,1,2,60
flat,84.0,0.41,583.0,2,2,2,10.0,New Property,565.0,0,0,0,0,0,0,23
flat,73.0,0.9,1622.0,3,3,3,3.0,Under Construction,1622.0,0,1,0,0,0,2,63
flat,7.0,0.54,917.0,2,2,1,3.0,Relatively New,1066.350710900474,0,0,0,0,0,2,70
flat,36.0,0.82,1081.0,3,2,2,2.0,New Property,1.9790441176470588,0,0,0,0,0,2,8
flat,71.0,1.0,1485.0,3,3,3,3.0,Relatively New,1308.3700440528637,0,0,0,0,0,0,7
flat,56.0,1.85,2050.0,3,4,3,7.0,Old Property,2428.909952606635,0,1,0,0,0,2,72
flat,83.0,1.42,1775.0,3,3,2,2.0,Relatively New,2103.0805687203792,0,0,0,0,0,0,113
flat,37.0,0.55,600.0,2,2,3,3.0,New Property,610.0,0,0,0,0,0,2,71
flat,65.0,2.29,1433.0,2,2,3,8.0,Under Construction,1697.867298578199,1,0,0,0,0,2,15
flat,102.0,0.97,915.0,2,2,2,12.0,New Property,1.9790441176470588,0,0,0,0,0,2,57
flat,53.0,8.25,2946.0,3,4,3,8.0,Under Construction,2590.308370044053,0,1,0,0,0,1,35
flat,5.0,0.3,675.0,2,2,1,1.0,Relatively New,799.7630331753555,0,0,0,0,0,2,21
flat,33.0,1.65,1151.0,2,2,3,1.0,Under Construction,1363.744075829384,0,0,0,0,0,2,38
flat,65.0,1.99,1260.0,2,2,2,26.0,Under Construction,1110.1321585903083,0,0,0,0,0,2,0
flat,68.0,1.0,800.0,2,2,3,21.0,Relatively New,947.8672985781992,0,0,0,0,0,2,31
flat,62.0,4.25,1600.0,3,3,3,8.0,Under Construction,1600.0,1,0,0,0,0,2,16
flat,78.0,1.25,2500.0,4,4,3,2.0,Relatively New,2300.0,0,1,1,0,1,2,57
flat,83.0,0.95,1508.0,3,3,3,1.0,Moderately Old,1587.6777251184835,0,0,0,0,0,2,0
flat,4.0,1.05,1350.0,3,2,2,2.0,New Property,1599.526066350711,0,0,0,0,0,0,0
flat,72.0,4.1,2908.0,4,5,3,39.0,New Property,2559.4713656387667,0,1,0,0,1,2,103
flat,90.0,0.5,716.0,2,2,2,1.0,Under Construction,848.3412322274881,0,0,0,0,0,2,21
flat,1.0,1.65,2800.0,4,3,3,8.0,New Property,3317.5355450236966,0,1,0,0,0,2,20
